July 5, 2024   17:43:49
Amperometric i-t Curve
File: run unsaved
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 0.1
Sample Interval (s) = 0.03
Run Time (sec) = 4e+3
Quiet Time (sec) = 0
Sensitivity (A/V) = 1e-5

Results:

Channel 1:

Time/sec, Current/A

1.983e+1, 4.560e-6
1.986e+1, 4.559e-6
1.989e+1, 4.571e-6
1.992e+1, 4.582e-6
1.995e+1, 4.594e-6
1.998e+1, 4.600e-6
2.001e+1, 4.631e-6
2.004e+1, 4.646e-6
2.007e+1, 4.643e-6
2.010e+1, 4.637e-6
2.013e+1, 4.613e-6
2.016e+1, 4.602e-6
2.019e+1, 4.595e-6
2.022e+1, 4.590e-6
2.025e+1, 4.551e-6
2.028e+1, 4.518e-6
2.031e+1, 4.523e-6
2.034e+1, 4.557e-6
2.037e+1, 4.552e-6
2.040e+1, 4.562e-6
2.043e+1, 4.561e-6
2.046e+1, 4.554e-6
2.049e+1, 4.556e-6
2.052e+1, 4.577e-6
2.055e+1, 4.584e-6
2.058e+1, 4.572e-6
2.061e+1, 4.573e-6
2.064e+1, 4.569e-6
2.067e+1, 4.572e-6
2.070e+1, 4.576e-6
2.073e+1, 4.586e-6
2.076e+1, 4.590e-6
2.079e+1, 4.588e-6
2.082e+1, 4.598e-6
2.085e+1, 4.602e-6
2.088e+1, 4.599e-6
2.091e+1, 4.593e-6
2.094e+1, 4.584e-6
2.097e+1, 4.557e-6
2.100e+1, 4.537e-6
2.103e+1, 4.548e-6
2.106e+1, 4.590e-6
2.109e+1, 4.602e-6
2.112e+1, 4.601e-6
2.115e+1, 4.603e-6
2.118e+1, 4.607e-6
2.121e+1, 4.617e-6
2.124e+1, 4.624e-6
2.127e+1, 4.616e-6
2.130e+1, 4.613e-6
2.133e+1, 4.626e-6
2.136e+1, 4.631e-6
2.139e+1, 4.633e-6
2.142e+1, 4.630e-6
2.145e+1, 4.659e-6
2.148e+1, 4.670e-6
2.151e+1, 4.665e-6
2.154e+1, 4.674e-6
2.157e+1, 4.674e-6
2.160e+1, 4.696e-6
2.163e+1, 4.678e-6
2.166e+1, 4.697e-6
2.169e+1, 4.716e-6
2.172e+1, 4.723e-6
2.175e+1, 4.725e-6
2.178e+1, 4.717e-6
2.181e+1, 4.731e-6
2.184e+1, 4.754e-6
2.187e+1, 4.751e-6
2.190e+1, 4.739e-6
2.193e+1, 4.742e-6
2.196e+1, 4.747e-6
2.199e+1, 4.766e-6
2.202e+1, 4.776e-6
2.205e+1, 4.767e-6
2.208e+1, 4.765e-6
2.211e+1, 4.769e-6
2.214e+1, 4.784e-6
2.217e+1, 4.771e-6
2.220e+1, 4.773e-6
2.223e+1, 4.781e-6
2.226e+1, 4.770e-6
2.229e+1, 4.780e-6
2.232e+1, 4.782e-6
2.235e+1, 4.796e-6
2.238e+1, 4.798e-6
2.241e+1, 4.804e-6
2.244e+1, 4.814e-6
2.247e+1, 4.815e-6
2.250e+1, 4.808e-6
2.253e+1, 4.804e-6
2.256e+1, 4.799e-6
2.259e+1, 4.776e-6
2.262e+1, 4.753e-6
2.265e+1, 4.772e-6
2.268e+1, 4.794e-6
2.271e+1, 4.811e-6
2.274e+1, 4.807e-6
2.277e+1, 4.798e-6
2.280e+1, 4.756e-6
2.283e+1, 4.737e-6
2.286e+1, 4.728e-6
2.289e+1, 4.750e-6
2.292e+1, 4.784e-6
2.295e+1, 4.793e-6
2.298e+1, 4.802e-6
2.301e+1, 4.804e-6
2.304e+1, 4.813e-6
2.307e+1, 4.812e-6
2.310e+1, 4.801e-6
2.313e+1, 4.807e-6
2.316e+1, 4.819e-6
2.319e+1, 4.812e-6
2.322e+1, 4.810e-6
2.325e+1, 4.815e-6
2.328e+1, 4.809e-6
2.331e+1, 4.813e-6
2.334e+1, 4.820e-6
2.337e+1, 4.813e-6
2.340e+1, 4.805e-6
2.343e+1, 4.791e-6
2.346e+1, 4.796e-6
2.349e+1, 4.807e-6
2.352e+1, 4.828e-6
2.355e+1, 4.833e-6
2.358e+1, 4.812e-6
2.361e+1, 4.813e-6
2.364e+1, 4.823e-6
2.367e+1, 4.833e-6
2.370e+1, 4.836e-6
2.373e+1, 4.833e-6
2.376e+1, 4.833e-6
2.379e+1, 4.813e-6
2.382e+1, 4.816e-6
2.385e+1, 4.836e-6
2.388e+1, 4.840e-6
2.391e+1, 4.864e-6
2.394e+1, 4.871e-6
2.397e+1, 4.866e-6
2.400e+1, 4.843e-6
2.403e+1, 4.835e-6
2.406e+1, 4.826e-6
2.409e+1, 4.819e-6
2.412e+1, 4.812e-6
2.415e+1, 4.803e-6
2.418e+1, 4.783e-6
2.421e+1, 4.775e-6
2.424e+1, 4.787e-6
2.427e+1, 4.808e-6
2.430e+1, 4.835e-6
2.433e+1, 4.854e-6
2.436e+1, 4.865e-6
2.439e+1, 4.875e-6
2.442e+1, 4.891e-6
2.445e+1, 4.891e-6
2.448e+1, 4.882e-6
2.451e+1, 4.862e-6
2.454e+1, 4.865e-6
2.457e+1, 4.878e-6
2.460e+1, 4.649e-6
2.463e+1, 4.699e-6
2.466e+1, 4.803e-6
2.469e+1, 4.828e-6
2.472e+1, 4.906e-6
2.475e+1, 4.908e-6
2.478e+1, 4.911e-6
2.481e+1, 4.910e-6
2.484e+1, 4.970e-6
2.487e+1, 4.980e-6
2.490e+1, 4.996e-6
2.493e+1, 5.001e-6
2.496e+1, 5.009e-6
2.499e+1, 5.015e-6
2.502e+1, 4.988e-6
2.505e+1, 4.939e-6
2.508e+1, 4.913e-6
2.511e+1, 4.910e-6
2.514e+1, 4.903e-6
2.517e+1, 4.902e-6
2.520e+1, 4.893e-6
2.523e+1, 4.890e-6
2.526e+1, 4.895e-6
2.529e+1, 4.893e-6
2.532e+1, 4.880e-6
2.535e+1, 4.874e-6
2.538e+1, 4.861e-6
2.541e+1, 4.845e-6
2.544e+1, 4.828e-6
2.547e+1, 4.833e-6
2.550e+1, 4.843e-6
2.553e+1, 4.842e-6
2.556e+1, 4.839e-6
2.559e+1, 4.827e-6
2.562e+1, 4.821e-6
2.565e+1, 4.814e-6
2.568e+1, 4.814e-6
2.571e+1, 4.809e-6
2.574e+1, 4.806e-6
2.577e+1, 4.809e-6
2.580e+1, 4.823e-6
2.583e+1, 4.822e-6
2.586e+1, 4.838e-6
2.589e+1, 4.850e-6
2.592e+1, 4.847e-6
2.595e+1, 4.839e-6
2.598e+1, 4.834e-6
2.601e+1, 4.842e-6
2.604e+1, 4.843e-6
2.607e+1, 4.842e-6
2.610e+1, 4.851e-6
2.613e+1, 4.855e-6
2.616e+1, 4.845e-6
2.619e+1, 4.841e-6
2.622e+1, 4.844e-6
2.625e+1, 4.845e-6
2.628e+1, 4.847e-6
2.631e+1, 4.864e-6
2.634e+1, 4.881e-6
2.637e+1, 4.897e-6
2.640e+1, 4.921e-6
2.643e+1, 4.969e-6
2.646e+1, 4.979e-6
2.649e+1, 4.967e-6
2.652e+1, 4.964e-6
2.655e+1, 4.966e-6
2.658e+1, 4.948e-6
2.661e+1, 4.956e-6
2.664e+1, 4.954e-6
2.667e+1, 4.959e-6
