23/12/15 16:17:55
,Ch,,Vanode(Vout1)
Time (s),I (A),ΔI/I0 (%),Voltage(V)
19.315004348754883,7.9202E-5,3.781646521510439,0.5000
19.381004333496094,8.3672E-5,9.63887067632485,0.5000
19.452003479003906,8.2382E-5,7.948532867134067,0.5000
19.511003494262695,8.3817E-5,9.828873508872471,0.5000
19.570003509521484,8.1884E-5,7.295979107601629,0.5000
19.636003494262695,8.1022E-5,6.166468566300921,0.5000
19.70100212097168,8.2559E-5,8.180466175748949,0.5000
19.752002716064453,8.2146E-5,7.639288455647557,0.5000
19.81900405883789,7.9503E-5,4.176058041389137,0.5000
19.87800407409668,7.7891E-5,2.063793625023132,0.5000
19.941003799438477,7.52E-5,-1.4623420373234628,0.5000
20.005002975463867,6.7368E-5,-11.724935695639278,0.5000
20.058002471923828,6.5447E-5,-14.242099017894436,0.5000
20.112001419067383,6.8947E-5,-9.655898377610917,0.5000
20.163002014160156,7.0259E-5,-7.936739324865945,0.5000
20.242002487182617,6.7702E-5,-11.287278009448372,0.5000
20.294004440307617,6.5834E-5,-13.734995768339745,0.5000
20.353004455566406,6.6138E-5,-13.336646711713485,0.5000
20.408004760742188,6.6162E-5,-13.30520362165668,0.5000
20.472003936767578,6.7841E-5,-11.105140716408593,0.5000
20.52300453186035,6.842E-5,-10.346454610450337,0.5000
20.578004837036133,6.6097E-5,-13.390370730048867,0.5000
20.64000701904297,6.6552E-5,-12.79417236934171,0.5000
20.692007064819336,6.5744E-5,-13.852921657033685,0.5000
20.7760066986084,6.5301E-5,-14.433408006699725,0.5000
20.82700538635254,6.0257E-5,-21.042768418209494,0.5000
20.879005432128906,5.1523E-5,-32.487290479903734,0.5000
20.935007095336914,5.681E-5,-25.559513961141946,0.5000
20.99100685119629,5.7973E-5,-24.0355871329689,0.5000
21.059005737304688,5.4326E-5,-28.814402918315373,0.5000
21.12100601196289,5.5696E-5,-27.019234151962795,0.5000
21.18700408935547,5.2714E-5,-30.926672101675017,0.5000
21.241004943847656,5.2202E-5,-31.597569252738474,0.5000
21.295005798339844,5.3079E-5,-30.4483996296618,0.5000
21.355005264282227,5.0648E-5,-33.633838256477794,0.5000
21.406005859375,5.3325E-5,-30.1260555196495,0.5000
21.483007431030273,5.4379E-5,-28.744952587957943,0.5000
21.539005279541016,5.697E-5,-25.349861580805644,0.5000
21.59500503540039,5.8125E-5,-23.83641737164941,0.5000
21.651004791259766,5.807E-5,-23.90848478151581,0.5000
21.703004837036133,5.9345E-5,-22.237801287107352,0.5000
21.76800537109375,5.8648E-5,-23.151109598808862,0.5000
21.831005096435547,5.8654E-5,-23.14324405930102,0.5000
21.897005081176758,5.7008E-5,-25.30006556523054,0.5000
21.949005126953125,5.7741E-5,-24.33958785145018,0.5000
22.001005172729492,5.8364E-5,-23.52324495740262,0.5000
22.052005767822266,5.5806E-5,-26.875099332229997,0.5000
22.107006072998047,5.7925E-5,-24.09848284706979,0.5000
22.159006118774414,6.4139E-5,-15.956023911621465,0.5000
22.2130069732666,6.7603E-5,-11.416997440410434,0.5000
22.26700782775879,6.6544E-5,-12.804650221364883,0.5000
22.327007293701172,6.7163E-5,-11.993555787316193,0.5000
22.379009246826172,6.5375E-5,-14.336437822052131,0.5000
22.443010330200195,6.7052E-5,-12.138996763306658,0.5000
22.49901008605957,6.7815E-5,-11.13920565296801,0.5000
22.553009033203125,6.7937E-5,-10.97934928820681,0.5000
22.607009887695312,6.9198E-5,-9.327004418335726,0.5000
22.65700912475586,6.9376E-5,-9.093764953463177,0.5000
22.721010208129883,6.7907E-5,-11.018657917771456,0.5000
22.77100944519043,6.756E-5,-11.473343305248433,0.5000
22.840009689331055,6.8891E-5,-9.729281477722266,0.5000
22.891010284423828,6.6939E-5,-12.287069119787018,0.5000
22.950010299682617,7.0109E-5,-8.133282472689178,0.5000
23.016010284423828,6.9511E-5,-8.916871353428627,0.5000
23.069011688232422,6.944E-5,-9.009904001328657,0.5000
23.14801025390625,6.9366E-5,-9.106874185976247,0.5000
23.201011657714844,6.5353E-5,-14.365268599593604,0.5000
23.260011672973633,7.172E-5,-6.02232421258084,0.5000
